100, 10, 0.227
100, 11, 0.234
100, 12, 0.261
100, 13, 0.293
100, 14, 0.317
100, 15, 0.323
100, 16, 0.354
100, 17, 0.357
100, 18, 0.398
100, 19, 0.443
100, 1, 0.134
100, 20, 0.524
100, 2, 0.046
100, 3, 0.063
100, 4, 0.086
100, 5, 0.123
100, 6, 0.136
100, 7, 0.157
100, 8, 0.181
100, 9, 0.206
150, 10, 0.421
150, 11, 0.432
150, 12, 0.429
150, 13, 0.547
150, 14, 0.560
150, 15, 0.602
150, 16, 0.762
150, 17, 0.794
150, 18, 0.769
150, 19, 0.717
150, 1, 0.301
150, 20, 0.784
150, 2, 0.083
150, 3, 0.111
150, 4, 0.242
150, 5, 0.212
150, 6, 0.260
150, 7, 0.261
150, 8, 0.324
150, 9, 0.351
200, 10, 0.585
200, 11, 0.632
200, 12, 0.729
200, 13, 0.800
200, 14, 0.864
200, 15, 0.884
200, 16, 1.005
200, 17, 1.035
200, 18, 1.111
200, 19, 1.179
200, 1, 0.541
200, 20, 1.272
200, 2, 0.115
200, 3, 0.188
200, 4, 0.247
200, 5, 3.490
200, 6, 0.341
200, 7, 0.408
200, 8, 0.659
200, 9, 0.524
250, 10, 0.877
250, 11, 1.063
250, 12, 1.327
250, 13, 1.619
250, 14, 1.466
250, 15, 1.466
250, 1, 0.796
250, 2, 0.172
250, 3, 0.310
250, 4, 0.362
250, 5, 0.423
250, 6, 0.526
250, 7, 0.654
250, 8, 0.705
250, 9, 0.891
50, 10, 0.093
50, 11, 0.097
50, 12, 0.110
50, 13, 0.116
50, 14, 0.122
50, 15, 0.162
50, 16, 0.168
50, 17, 0.180
50, 18, 0.198
50, 19, 0.191
50, 1, 0.038
50, 20, 0.208
50, 2, 0.023
50, 3, 0.031
50, 4, 0.048
50, 5, 0.045
50, 6, 0.049
50, 7, 0.069
50, 8, 0.080
50, 9, 0.081
