100, 10, 0.096
100, 11, 0.105
100, 12, 0.117
100, 13, 0.125
100, 14, 0.135
100, 15, 0.150
100, 16, 0.154
100, 17, 0.167
100, 18, 0.178
100, 19, 0.197
100, 1, 0.061
100, 20, 0.203
100, 2, 0.717
100, 3, 0.030
100, 4, 0.040
100, 5, 0.048
100, 6, 0.061
100, 7, 0.065
100, 8, 0.075
100, 9, 0.085
150, 10, 0.175
150, 11, 0.192
150, 12, 0.212
150, 13, 0.232
150, 14, 0.249
150, 15, 0.272
150, 16, 0.285
150, 17, 0.313
150, 18, 0.328
150, 19, 0.360
150, 1, 0.138
150, 20, 0.367
150, 2, 0.047
150, 3, 5.027
150, 4, 0.073
150, 5, 0.091
150, 6, 0.107
150, 7, 0.126
150, 8, 0.141
150, 9, 0.160
200, 10, 0.285
200, 11, 0.315
200, 12, 0.349
200, 13, 0.368
200, 14, 0.402
200, 15, 0.442
200, 16, 0.459
200, 17, 0.496
200, 18, 0.539
200, 19, 0.568
200, 1, 0.251
200, 20, 0.585
200, 2, 75.56
200, 3, 0.090
200, 4, 0.118
200, 5, 0.227
200, 6, 0.187
200, 7, 0.232
200, 8, 0.226
200, 9, 0.253
250, 10, 0.436
250, 11, 0.475
250, 12, 0.547
250, 13, 0.572
250, 14, 0.593
250, 15, 0.652
250, 16, 0.674
250, 17, 0.729
250, 18, 0.789
250, 19, 0.829
250, 1, 0.404
250, 20, 0.872
250, 2, 0.081
250, 3, 0.134
250, 4, 0.180
250, 5, 0.226
250, 6, 0.268
250, 7, 0.305
250, 8, 0.354
250, 9, 0.385
300, 10, 0.610
300, 11, 0.677
300, 12, 0.726
300, 13, 0.803
300, 14, 0.851
300, 15, 0.912
300, 16, 0.979
300, 17, 1.037
300, 18, 1.134
300, 19, 1.171
300, 1, 0.588
300, 20, 1.211
300, 2, 4.347
300, 3, 39.53
300, 4, 0.262
300, 5, 0.319
300, 6, 0.387
300, 7, 0.444
300, 8, 0.501
300, 9, 0.557
350, 10, 0.836
350, 11, 0.927
350, 12, 1.008
350, 13, 1.109
350, 14, 1.168
350, 15, 1.247
350, 16, 1.329
350, 17, 1.431
350, 18, 1.490
350, 19, 1.587
350, 1, 0.825
350, 20, 1.666
350, 2, 0.153
350, 3, 63.17
350, 4, 0.360
350, 5, 0.432
350, 6, 0.527
350, 7, 0.604
350, 8, 0.683
350, 9, 0.763
50, 10, 0.041
50, 11, 0.045
50, 12, 0.049
50, 13, 0.053
50, 14, 0.057
50, 15, 0.064
50, 16, 0.069
50, 17, 0.073
50, 18, 0.078
50, 19, 0.083
50, 1, 0.018
50, 20, 0.088
50, 2, 0.028
50, 3, 0.014
50, 4, 0.017
50, 5, 0.021
50, 6, 0.025
50, 7, 0.028
50, 8, 0.032
50, 9, 0.037
